epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
164,788.805,0.57278,0.38068,0.86226,0.90475,0.72142,0.85625,0.51472,1.3168,0.86724,1.36181,0.0009242,0.0009242,0.0009242
165,793.706,0.55902,0.3776,0.86331,0.90475,0.72142,0.85625,0.51472,1.3168,0.86724,1.36181,0.0009176,0.0009176,0.0009176
166,799.138,0.57133,0.38615,0.8581,0.77443,0.78481,0.85305,0.5158,1.31263,0.88314,1.35201,0.000911,0.000911,0.000911
167,803.786,0.5543,0.37878,0.85719,0.77443,0.78481,0.85305,0.5158,1.31263,0.88314,1.35201,0.0009044,0.0009044,0.0009044
168,808.508,0.58681,0.383,0.86092,0.87896,0.67089,0.84944,0.50868,1.29494,0.92154,1.33954,0.0008978,0.0008978,0.0008978
169,813.118,0.5439,0.38025,0.85581,0.87896,0.67089,0.84944,0.50868,1.29494,0.92154,1.33954,0.0008912,0.0008912,0.0008912
170,817.411,0.52251,0.37884,0.8576,0.89345,0.67089,0.8612,0.52302,1.29378,0.9102,1.34534,0.0008846,0.0008846,0.0008846
171,821.447,0.56436,0.38239,0.86824,0.89345,0.67089,0.8612,0.52302,1.29378,0.9102,1.34534,0.000878,0.000878,0.000878
172,825.915,0.54246,0.37369,0.8527,0.91182,0.64557,0.83842,0.5185,1.33876,0.9154,1.35906,0.0008714,0.0008714,0.0008714
173,830.404,0.5601,0.37856,0.87165,0.91182,0.64557,0.83842,0.5185,1.33876,0.9154,1.35906,0.0008648,0.0008648,0.0008648
174,834.863,0.56244,0.36507,0.851,0.88416,0.70886,0.8513,0.52479,1.33888,0.87525,1.34545,0.0008582,0.0008582,0.0008582
175,840.326,0.59052,0.41466,0.85419,0.88416,0.70886,0.8513,0.52479,1.33888,0.87525,1.34545,0.0008516,0.0008516,0.0008516
176,844.938,0.55167,0.38138,0.84243,0.91118,0.72152,0.85562,0.52868,1.3368,0.87305,1.35569,0.000845,0.000845,0.000845
177,849.491,0.60714,0.40834,0.86323,0.91118,0.72152,0.85562,0.52868,1.3368,0.87305,1.35569,0.0008384,0.0008384,0.0008384
178,854.214,0.5785,0.38089,0.8774,0.94322,0.70886,0.86529,0.53699,1.3245,0.85587,1.35393,0.0008318,0.0008318,0.0008318
179,857.892,0.51523,0.35882,0.85832,0.94322,0.70886,0.86529,0.53699,1.3245,0.85587,1.35393,0.0008252,0.0008252,0.0008252
180,862.455,0.56822,0.37483,0.87347,0.96537,0.70575,0.86395,0.53982,1.29148,0.81508,1.33065,0.0008186,0.0008186,0.0008186
181,867.064,0.52229,0.36499,0.85718,0.96537,0.70575,0.86395,0.53982,1.29148,0.81508,1.33065,0.000812,0.000812,0.000812
